ENA_id	Dataset	Country	Amikacin	Capreomycin	Ciprofloxacin	Cycloserine	Ethambutol	Ethionamide	Isoniazid	Kanamycin	Linezolid	Moxifloxacin	Ofloxacin	PAS	Pyrazinamide	Rifabutin	Rifampicin	Streptomycin
ERR025833	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025834	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025835	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025836	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025837	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025838	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025839	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025842	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025843	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025844	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR025846	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025847	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR025848	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038254	training	UK	S	S	S	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR038255	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR038256	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038257	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038258	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038259	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038260	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038261	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038262	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038263	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038264	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038265	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038266	training	UK	S	U	S	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR038269	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038270	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038271	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038272	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038273	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038274	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR038275	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038276	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038277	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038278	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038279	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038280	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038281	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038282	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038283	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038284	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038285	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038286	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038287	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038288	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038290	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038291	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038292	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038293	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038294	training	UK	S	S	U	U	S	U	S	U	U	S	R	U	U	U	S	S
ERR038295	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038296	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038298	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038299	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR038300	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039323	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR039324	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR039325	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039326	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039327	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039328	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039329	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039330	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039331	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039332	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039333	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039334	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039335	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR039336	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039337	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR039338	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039339	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039340	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039341	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039342	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039343	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR039344	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR039345	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	R
ERR039346	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040086	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040087	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040088	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040089	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040090	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040091	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040093	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040094	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040095	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040096	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040097	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040098	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040099	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040100	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040101	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040102	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040103	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040104	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040105	training	UK	U	U	S	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR040106	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040107	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR040108	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR040109	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046729	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046730	training	UK	U	U	S	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046732	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046733	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046734	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046735	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046736	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046737	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046738	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046739	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046741	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046743	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046744	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046745	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046746	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046747	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046748	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046749	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046751	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046752	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046753	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046754	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046755	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046756	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046758	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046759	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046760	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046761	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046762	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046763	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046764	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046765	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046766	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046767	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046768	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046769	training	UK	S	S	U	U	S	U	S	S	U	S	S	U	U	U	S	S
ERR046770	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046771	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046772	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046773	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046775	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046776	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046777	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046778	training	UK	U	U	S	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046779	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046780	training	UK	U	U	S	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046781	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046782	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046783	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046784	training	UK	U	U	R	U	R	U	R	U	U	U	U	U	U	U	S	U
ERR046785	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046786	training	UK	U	U	R	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046788	training	UK	U	U	U	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046789	training	UK	S	S	U	U	S	U	R	S	U	R	R	U	U	U	S	R
ERR046791	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046792	training	UK	U	U	R	U	R	U	S	U	U	U	U	U	U	U	S	U
ERR046794	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046795	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046796	training	UK	S	S	R	U	R	U	R	U	U	U	U	U	U	U	R	R
ERR046797	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046798	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046799	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046800	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046819	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046820	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046821	training	UK	S	U	U	U	S	U	R	U	U	U	U	U	U	U	R	R
ERR046822	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046823	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046824	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046825	training	UK	S	S	S	U	S	U	S	U	U	U	U	U	U	U	R	S
ERR046831	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046832	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046834	training	UK	U	U	S	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046837	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046838	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046839	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046840	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046841	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046842	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046843	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046844	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046845	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046846	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
